headline,label,category,explanation_tokens
She Did Mobile and You Won’t Guess What Happened Next!,1,curiosity_gap,Startup|Engineers
Government Releases Report on Students,0,none,
These Engineers Facts Will Shock You!,1,exaggeration,AI|Students
She Did Health and You Won’t Guess What Happened Next!,1,exaggeration,Students|Technology
Experts Discuss Challenges in Engineers Sector,0,none,
Researchers Find Correlation Between Environment and Health,0,none,
New Technology Aims to Improve AI Efficiency,0,none,
Government Releases Report on Finance,0,none,
Scientists Discover New Method to Improve Mobile,0,none,
Government Releases Report on Water,0,none,
Top 10 AI Ideas That Are Blowing Up the Internet!,1,emotional,Finance|Research
Doctors Hate This Simple Technology Trick!,1,misleading_number,Engineers|Technology
People Are Freaking Out About This Health Discovery!,1,exaggeration,Environment|Health
Study Shows Increase in Environment Over Last Decade,0,none,
10 Mobile Secrets the Experts Don’t Want You to Know!,1,shock_value,AI|Water
This One Environment Mistake Could Ruin Everything!,1,curiosity_gap,Environment|Health
10 Research Secrets the Experts Don’t Want You to Know!,1,exaggeration,Education|Kerala
You Won't Believe What Happened When Health Tried This!,1,curiosity_gap,Education|Engineers
People Are Freaking Out About This AI Discovery!,1,emotional,Finance|Water
New Technology Aims to Improve Environment Efficiency,0,none,
Kerala Announces New Policy for 2025,0,none,
Survey Reveals Trends in Mobile for 2024,0,none,
You Won't Believe What Happened When Education Tried This!,1,curiosity_gap,Environment|Technology
10 Finance Secrets the Experts Don’t Want You to Know!,1,shock_value,Startup|Health
These Water Facts Will Shock You!,1,exaggeration,Education|Startup
She Did AI and You Won’t Guess What Happened Next!,1,curiosity_gap,Research|Water
You Won't Believe What Happened When Startup Tried This!,1,emotional,Education|Kerala
AI Announces New Policy for 2025,0,none,
Survey Reveals Trends in Mobile for 2024,0,none,
Scientists Discover New Method to Improve Mobile,0,none,
You Won't Believe What Happened When Engineers Tried This!,1,misleading_number,Environment|Finance
How This Technology Girl Became Famous Overnight!,1,emotional,Students|Environment
Experts Discuss Challenges in Engineers Sector,0,none,
Government Releases Report on Health,0,none,
Students Announces New Policy for 2025,0,none,
Government Releases Report on Environment,0,none,
These Water Facts Will Shock You!,1,exaggeration,Students|Mobile
Scientists Discover New Method to Improve Finance,0,none,
Study Shows Increase in Mobile Over Last Decade,0,none,
This One Students Mistake Could Ruin Everything!,1,exaggeration,Finance|Health
Scientists Discover New Method to Improve Environment,0,none,
You Won't Believe What Happened When Kerala Tried This!,1,curiosity_gap,Health|Education
10 Mobile Secrets the Experts Don’t Want You to Know!,1,exaggeration,Technology|Engineers
How This Education Girl Became Famous Overnight!,1,exaggeration,Startup|Mobile
Students Department Introduces Updated Guidelines,0,none,
Doctors Hate This Simple Kerala Trick!,1,exaggeration,Water|Education
These Environment Facts Will Shock You!,1,misleading_number,AI|Engineers
Researchers Find Correlation Between Education and Finance,0,none,
People Are Freaking Out About This Kerala Discovery!,1,curiosity_gap,Health|Students
These Technology Facts Will Shock You!,1,emotional,Mobile|Environment
Startup Launches Initiative to Support Students Development,0,none,
Study Shows Increase in Students Over Last Decade,0,none,
10 Startup Secrets the Experts Don’t Want You to Know!,1,shock_value,Health|Startup
This Startup Hack Will Change Your Life Forever!,1,misleading_number,Environment|Research
Technology Launches Initiative to Support Education Development,0,none,
Researchers Find Correlation Between Water and AI,0,none,
This One Health Mistake Could Ruin Everything!,1,shock_value,Education|Students
Researchers Find Correlation Between Health and Research,0,none,
This One Students Mistake Could Ruin Everything!,1,misleading_number,Education|Research
Researchers Find Correlation Between Students and Education,0,none,
You Won't Believe What Happened When Environment Tried This!,1,exaggeration,Kerala|Mobile
Technology Launches Initiative to Support AI Development,0,none,
How This Students Girl Became Famous Overnight!,1,curiosity_gap,Mobile|Engineers
Water Launches Initiative to Support Water Development,0,none,
You Won't Believe What Happened When Research Tried This!,1,misleading_number,Research|Startup
You Won't Believe What Happened When Students Tried This!,1,exaggeration,Kerala|Startup
She Did Students and You Won’t Guess What Happened Next!,1,curiosity_gap,Environment|Health
Researchers Find Correlation Between Health and Research,0,none,
You Won't Believe What Happened When Health Tried This!,1,shock_value,Water|Engineers
People Are Freaking Out About This Kerala Discovery!,1,emotional,Finance|Technology
These Students Facts Will Shock You!,1,exaggeration,Technology|Water
You Won't Believe What Happened When Water Tried This!,1,misleading_number,AI|Health
This Research Hack Will Change Your Life Forever!,1,curiosity_gap,AI|Engineers
You Won't Believe What Happened When Finance Tried This!,1,exaggeration,Students|Technology
Scientists Discover New Method to Improve Students,0,none,
Survey Reveals Trends in Startup for 2024,0,none,
Scientists Discover New Method to Improve Finance,0,none,
Scientists Discover New Method to Improve Health,0,none,
This Startup Hack Will Change Your Life Forever!,1,curiosity_gap,Environment|AI
She Did Technology and You Won’t Guess What Happened Next!,1,misleading_number,Students|Mobile
This One Water Mistake Could Ruin Everything!,1,shock_value,Water|Finance
Environment Launches Initiative to Support Kerala Development,0,none,
10 Environment Secrets the Experts Don’t Want You to Know!,1,misleading_number,Kerala|Startup
Researchers Find Correlation Between AI and Startup,0,none,
Environment Launches Initiative to Support Kerala Development,0,none,
This One Research Mistake Could Ruin Everything!,1,emotional,AI|Education
Top 10 Startup Ideas That Are Blowing Up the Internet!,1,exaggeration,Technology|Finance
How This Education Girl Became Famous Overnight!,1,curiosity_gap,Startup|Health
This One AI Mistake Could Ruin Everything!,1,emotional,Education|AI
This One Health Mistake Could Ruin Everything!,1,emotional,Startup|Mobile
Survey Reveals Trends in Kerala for 2024,0,none,
Water Department Introduces Updated Guidelines,0,none,
Experts Discuss Challenges in Engineers Sector,0,none,
This Engineers Hack Will Change Your Life Forever!,1,shock_value,Students|Kerala
This One Engineers Mistake Could Ruin Everything!,1,misleading_number,Students|Finance
Scientists Discover New Method to Improve Health,0,none,
Top 10 Water Ideas That Are Blowing Up the Internet!,1,shock_value,Engineers|Mobile
10 Students Secrets the Experts Don’t Want You to Know!,1,misleading_number,Health|Research
Scientists Discover New Method to Improve Health,0,none,
People Are Freaking Out About This Kerala Discovery!,1,curiosity_gap,Students|Research
People Are Freaking Out About This Mobile Discovery!,1,exaggeration,Water|Research
Scientists Discover New Method to Improve Research,0,none,
You Won't Believe What Happened When Startup Tried This!,1,shock_value,Technology|AI
People Are Freaking Out About This Mobile Discovery!,1,exaggeration,AI|Education
Study Shows Increase in Research Over Last Decade,0,none,
Top 10 Mobile Ideas That Are Blowing Up the Internet!,1,emotional,Environment|Startup
This One Environment Mistake Could Ruin Everything!,1,misleading_number,Research|Startup
Top 10 Startup Ideas That Are Blowing Up the Internet!,1,exaggeration,Finance|Health
Research Department Introduces Updated Guidelines,0,none,
Doctors Hate This Simple Technology Trick!,1,exaggeration,Mobile|Health
These Research Facts Will Shock You!,1,shock_value,Engineers|Mobile
New Technology Aims to Improve Startup Efficiency,0,none,
Engineers Announces New Policy for 2025,0,none,
Kerala Announces New Policy for 2025,0,none,
10 Water Secrets the Experts Don’t Want You to Know!,1,curiosity_gap,Environment|Students
Experts Discuss Challenges in Research Sector,0,none,
Experts Discuss Challenges in Kerala Sector,0,none,
How This Kerala Girl Became Famous Overnight!,1,curiosity_gap,Startup|Health
This Startup Hack Will Change Your Life Forever!,1,misleading_number,Kerala|Technology
People Are Freaking Out About This Engineers Discovery!,1,misleading_number,Engineers|Students
Study Shows Increase in Education Over Last Decade,0,none,
Education Launches Initiative to Support Education Development,0,none,
Experts Discuss Challenges in Education Sector,0,none,
Technology Department Introduces Updated Guidelines,0,none,
How This Students Girl Became Famous Overnight!,1,shock_value,Education|Kerala
These Startup Facts Will Shock You!,1,exaggeration,AI|Mobile
New Technology Aims to Improve Technology Efficiency,0,none,
Government Releases Report on Education,0,none,
Water Launches Initiative to Support Mobile Development,0,none,
10 Environment Secrets the Experts Don’t Want You to Know!,1,exaggeration,Startup|Research
She Did Technology and You Won’t Guess What Happened Next!,1,curiosity_gap,Research|Health
10 Students Secrets the Experts Don’t Want You to Know!,1,exaggeration,Engineers|Education
She Did Kerala and You Won’t Guess What Happened Next!,1,emotional,Technology|Finance
Education Department Introduces Updated Guidelines,0,none,
New Technology Aims to Improve Finance Efficiency,0,none,
People Are Freaking Out About This Mobile Discovery!,1,curiosity_gap,Startup|Education
She Did Water and You Won’t Guess What Happened Next!,1,misleading_number,Engineers|AI
Experts Discuss Challenges in Water Sector,0,none,
Environment Department Introduces Updated Guidelines,0,none,
You Won't Believe What Happened When Environment Tried This!,1,curiosity_gap,Finance|Engineers
Top 10 AI Ideas That Are Blowing Up the Internet!,1,curiosity_gap,Environment|Health
Health Announces New Policy for 2025,0,none,
New Technology Aims to Improve Research Efficiency,0,none,
Study Shows Increase in Education Over Last Decade,0,none,
Scientists Discover New Method to Improve Kerala,0,none,
Scientists Discover New Method to Improve Kerala,0,none,
Government Releases Report on Education,0,none,
Study Shows Increase in Health Over Last Decade,0,none,
She Did Research and You Won’t Guess What Happened Next!,1,emotional,Mobile|Engineers
Experts Discuss Challenges in Finance Sector,0,none,
Top 10 AI Ideas That Are Blowing Up the Internet!,1,exaggeration,AI|Engineers
Experts Discuss Challenges in Health Sector,0,none,
People Are Freaking Out About This Kerala Discovery!,1,emotional,AI|Finance
10 Environment Secrets the Experts Don’t Want You to Know!,1,shock_value,Startup|Environment
Scientists Discover New Method to Improve Engineers,0,none,
Doctors Hate This Simple Mobile Trick!,1,misleading_number,Kerala|Startup
Experts Discuss Challenges in Engineers Sector,0,none,
Scientists Discover New Method to Improve Research,0,none,
Researchers Find Correlation Between Startup and Water,0,none,
Startup Launches Initiative to Support Students Development,0,none,
Top 10 Mobile Ideas That Are Blowing Up the Internet!,1,emotional,Mobile|Research
Top 10 Mobile Ideas That Are Blowing Up the Internet!,1,emotional,Mobile|Kerala
Research Department Introduces Updated Guidelines,0,none,
New Technology Aims to Improve Education Efficiency,0,none,
These Water Facts Will Shock You!,1,exaggeration,Mobile|Startup
10 Engineers Secrets the Experts Don’t Want You to Know!,1,misleading_number,Engineers|Health
Researchers Find Correlation Between Water and Finance,0,none,
Top 10 Research Ideas That Are Blowing Up the Internet!,1,emotional,AI|Kerala
Government Releases Report on Health,0,none,
This Startup Hack Will Change Your Life Forever!,1,misleading_number,Startup|Technology
These Education Facts Will Shock You!,1,exaggeration,Finance|Students
10 AI Secrets the Experts Don’t Want You to Know!,1,exaggeration,AI|Mobile
Engineers Department Introduces Updated Guidelines,0,none,
She Did Environment and You Won’t Guess What Happened Next!,1,misleading_number,Technology|Environment
She Did Water and You Won’t Guess What Happened Next!,1,exaggeration,AI|Water
Mobile Department Introduces Updated Guidelines,0,none,
Engineers Announces New Policy for 2025,0,none,
Survey Reveals Trends in Technology for 2024,0,none,
Researchers Find Correlation Between AI and AI,0,none,
10 Startup Secrets the Experts Don’t Want You to Know!,1,emotional,Startup|Research
Survey Reveals Trends in Environment for 2024,0,none,
Students Department Introduces Updated Guidelines,0,none,
Survey Reveals Trends in Mobile for 2024,0,none,
New Technology Aims to Improve Students Efficiency,0,none,
Survey Reveals Trends in Environment for 2024,0,none,
Research Announces New Policy for 2025,0,none,
Experts Discuss Challenges in AI Sector,0,none,
How This Research Girl Became Famous Overnight!,1,exaggeration,Startup|Finance
Students Department Introduces Updated Guidelines,0,none,
People Are Freaking Out About This Technology Discovery!,1,curiosity_gap,Research|Mobile
Mobile Launches Initiative to Support Finance Development,0,none,
Researchers Find Correlation Between Mobile and Mobile,0,none,
Scientists Discover New Method to Improve Startup,0,none,
This Finance Hack Will Change Your Life Forever!,1,shock_value,AI|Environment
You Won't Believe What Happened When Kerala Tried This!,1,emotional,Research|Water
Survey Reveals Trends in Research for 2024,0,none,
Top 10 Students Ideas That Are Blowing Up the Internet!,1,exaggeration,Students|Technology
People Are Freaking Out About This Technology Discovery!,1,shock_value,Health|Mobile
Doctors Hate This Simple Education Trick!,1,shock_value,Health|Finance
Finance Announces New Policy for 2025,0,none,
New Technology Aims to Improve Mobile Efficiency,0,none,
New Technology Aims to Improve Environment Efficiency,0,none,
Study Shows Increase in Research Over Last Decade,0,none,
You Won't Believe What Happened When Startup Tried This!,1,curiosity_gap,Health|Startup
She Did Water and You Won’t Guess What Happened Next!,1,curiosity_gap,Technology|Finance
This Environment Hack Will Change Your Life Forever!,1,misleading_number,Kerala|Technology
You Won't Believe What Happened When Research Tried This!,1,shock_value,Startup|Environment
Education Launches Initiative to Support Health Development,0,none,
People Are Freaking Out About This Engineers Discovery!,1,exaggeration,Water|Education
Environment Department Introduces Updated Guidelines,0,none,
Technology Launches Initiative to Support Water Development,0,none,
Health Launches Initiative to Support Environment Development,0,none,
How This Startup Girl Became Famous Overnight!,1,exaggeration,Mobile|Environment
Government Releases Report on Finance,0,none,
Top 10 Finance Ideas That Are Blowing Up the Internet!,1,exaggeration,Engineers|Water
You Won't Believe What Happened When Environment Tried This!,1,emotional,Startup|Mobile
Environment Announces New Policy for 2025,0,none,
These Kerala Facts Will Shock You!,1,exaggeration,Technology|Research
10 Health Secrets the Experts Don’t Want You to Know!,1,emotional,Finance|Kerala
Researchers Find Correlation Between Water and Kerala,0,none,
Study Shows Increase in Environment Over Last Decade,0,none,
Experts Discuss Challenges in Kerala Sector,0,none,
Scientists Discover New Method to Improve Startup,0,none,
Experts Discuss Challenges in Engineers Sector,0,none,
These Environment Facts Will Shock You!,1,emotional,Students|Health
Education Department Introduces Updated Guidelines,0,none,
Doctors Hate This Simple Research Trick!,1,misleading_number,Environment|Students
She Did AI and You Won’t Guess What Happened Next!,1,emotional,Startup|Water
These Research Facts Will Shock You!,1,shock_value,Startup|Finance
Survey Reveals Trends in Research for 2024,0,none,
Study Shows Increase in Mobile Over Last Decade,0,none,
New Technology Aims to Improve Startup Efficiency,0,none,
Study Shows Increase in Finance Over Last Decade,0,none,
Experts Discuss Challenges in Research Sector,0,none,
Top 10 Health Ideas That Are Blowing Up the Internet!,1,shock_value,Health|Education
She Did Health and You Won’t Guess What Happened Next!,1,shock_value,Technology|Research
People Are Freaking Out About This Research Discovery!,1,emotional,Research|AI
Research Announces New Policy for 2025,0,none,
Environment Launches Initiative to Support Engineers Development,0,none,
Government Releases Report on Startup,0,none,
Study Shows Increase in Research Over Last Decade,0,none,
This Mobile Hack Will Change Your Life Forever!,1,exaggeration,Health|Engineers
You Won't Believe What Happened When Environment Tried This!,1,curiosity_gap,Education|Research
You Won't Believe What Happened When Startup Tried This!,1,shock_value,Students|Research
You Won't Believe What Happened When Mobile Tried This!,1,emotional,Kerala|AI
Doctors Hate This Simple Environment Trick!,1,exaggeration,Engineers|Startup
Researchers Find Correlation Between Health and Water,0,none,
Researchers Find Correlation Between Health and AI,0,none,
Top 10 Environment Ideas That Are Blowing Up the Internet!,1,misleading_number,Environment|Technology
Students Announces New Policy for 2025,0,none,
These Research Facts Will Shock You!,1,exaggeration,Mobile|Technology
Experts Discuss Challenges in Water Sector,0,none,
10 AI Secrets the Experts Don’t Want You to Know!,1,emotional,Startup|Education
These Finance Facts Will Shock You!,1,misleading_number,Students|Environment
This Education Hack Will Change Your Life Forever!,1,shock_value,Engineers|Finance
People Are Freaking Out About This Kerala Discovery!,1,exaggeration,Water|Mobile
She Did Health and You Won’t Guess What Happened Next!,1,emotional,Research|Startup
This One AI Mistake Could Ruin Everything!,1,emotional,Engineers|Technology
10 Mobile Secrets the Experts Don’t Want You to Know!,1,emotional,Education|Startup
You Won't Believe What Happened When Environment Tried This!,1,shock_value,Education|Health
Doctors Hate This Simple Mobile Trick!,1,shock_value,Kerala|AI
Scientists Discover New Method to Improve Environment,0,none,
Environment Announces New Policy for 2025,0,none,
Technology Department Introduces Updated Guidelines,0,none,
Government Releases Report on Education,0,none,
Scientists Discover New Method to Improve Water,0,none,
You Won't Believe What Happened When Startup Tried This!,1,curiosity_gap,AI|Startup
Government Releases Report on Startup,0,none,
This One Technology Mistake Could Ruin Everything!,1,misleading_number,Health|Research
Government Releases Report on Students,0,none,
Researchers Find Correlation Between Water and Water,0,none,
Researchers Find Correlation Between Research and Mobile,0,none,
Researchers Find Correlation Between Technology and AI,0,none,
Doctors Hate This Simple Students Trick!,1,emotional,Finance|Health
AI Department Introduces Updated Guidelines,0,none,
Education Launches Initiative to Support Research Development,0,none,
Mobile Department Introduces Updated Guidelines,0,none,
Researchers Find Correlation Between Mobile and Water,0,none,
Researchers Find Correlation Between Health and Engineers,0,none,
New Technology Aims to Improve Education Efficiency,0,none,
Finance Department Introduces Updated Guidelines,0,none,
Study Shows Increase in Engineers Over Last Decade,0,none,
This One Mobile Mistake Could Ruin Everything!,1,exaggeration,Engineers|Environment
New Technology Aims to Improve Technology Efficiency,0,none,
New Technology Aims to Improve AI Efficiency,0,none,
Doctors Hate This Simple Technology Trick!,1,curiosity_gap,Research|Finance
Government Releases Report on Education,0,none,
This One Environment Mistake Could Ruin Everything!,1,exaggeration,Mobile|Water
People Are Freaking Out About This Education Discovery!,1,emotional,Mobile|Technology
These Environment Facts Will Shock You!,1,emotional,Students|Startup
Environment Launches Initiative to Support Startup Development,0,none,
People Are Freaking Out About This Environment Discovery!,1,exaggeration,Technology|Kerala
Researchers Find Correlation Between Engineers and Water,0,none,
Researchers Find Correlation Between Finance and Environment,0,none,
Mobile Announces New Policy for 2025,0,none,
People Are Freaking Out About This Research Discovery!,1,misleading_number,Water|Startup
Study Shows Increase in AI Over Last Decade,0,none,
AI Announces New Policy for 2025,0,none,
These Research Facts Will Shock You!,1,emotional,Mobile|Education
New Technology Aims to Improve AI Efficiency,0,none,
AI Launches Initiative to Support Health Development,0,none,
People Are Freaking Out About This Environment Discovery!,1,curiosity_gap,Water|Environment
Government Releases Report on Kerala,0,none,
These Water Facts Will Shock You!,1,emotional,Engineers|Mobile
Government Releases Report on Education,0,none,
Survey Reveals Trends in Mobile for 2024,0,none,
This Finance Hack Will Change Your Life Forever!,1,emotional,Engineers|Health
Doctors Hate This Simple Research Trick!,1,misleading_number,Health|Finance
Scientists Discover New Method to Improve Research,0,none,
Scientists Discover New Method to Improve Health,0,none,
Students Department Introduces Updated Guidelines,0,none,
Doctors Hate This Simple Engineers Trick!,1,exaggeration,Water|Students
She Did Engineers and You Won’t Guess What Happened Next!,1,shock_value,Startup|Education
10 Health Secrets the Experts Don’t Want You to Know!,1,curiosity_gap,AI|Startup
She Did Startup and You Won’t Guess What Happened Next!,1,misleading_number,Startup|Research
Study Shows Increase in Water Over Last Decade,0,none,
Study Shows Increase in Startup Over Last Decade,0,none,
You Won't Believe What Happened When Students Tried This!,1,shock_value,Startup|Health
Doctors Hate This Simple Education Trick!,1,misleading_number,Mobile|Environment
Government Releases Report on Finance,0,none,
Engineers Announces New Policy for 2025,0,none,
Startup Announces New Policy for 2025,0,none,
Health Launches Initiative to Support Education Development,0,none,
Government Releases Report on Startup,0,none,
Government Releases Report on Research,0,none,
Engineers Department Introduces Updated Guidelines,0,none,
Engineers Announces New Policy for 2025,0,none,
Experts Discuss Challenges in Health Sector,0,none,
Study Shows Increase in AI Over Last Decade,0,none,
Study Shows Increase in Environment Over Last Decade,0,none,
AI Launches Initiative to Support Technology Development,0,none,
Scientists Discover New Method to Improve Research,0,none,
Government Releases Report on Finance,0,none,
Doctors Hate This Simple Health Trick!,1,exaggeration,Mobile|Finance
You Won't Believe What Happened When Health Tried This!,1,shock_value,Water|Mobile
Government Releases Report on Engineers,0,none,
How This Students Girl Became Famous Overnight!,1,curiosity_gap,AI|Mobile
Health Launches Initiative to Support Environment Development,0,none,
How This Finance Girl Became Famous Overnight!,1,curiosity_gap,Kerala|Water
Environment Announces New Policy for 2025,0,none,
This Research Hack Will Change Your Life Forever!,1,emotional,Water|Environment
Environment Launches Initiative to Support Health Development,0,none,
Experts Discuss Challenges in Water Sector,0,none,
Water Announces New Policy for 2025,0,none,
New Technology Aims to Improve Students Efficiency,0,none,
Education Launches Initiative to Support Students Development,0,none,
Survey Reveals Trends in Water for 2024,0,none,
This Startup Hack Will Change Your Life Forever!,1,exaggeration,Technology|AI
Government Releases Report on Mobile,0,none,
Top 10 Finance Ideas That Are Blowing Up the Internet!,1,exaggeration,Environment|Water
Experts Discuss Challenges in Education Sector,0,none,
Experts Discuss Challenges in Finance Sector,0,none,
Research Announces New Policy for 2025,0,none,
She Did AI and You Won’t Guess What Happened Next!,1,misleading_number,Students|Water
Study Shows Increase in Mobile Over Last Decade,0,none,
Scientists Discover New Method to Improve Finance,0,none,
10 Mobile Secrets the Experts Don’t Want You to Know!,1,curiosity_gap,Education|Startup
Doctors Hate This Simple Technology Trick!,1,emotional,Startup|AI
Experts Discuss Challenges in Engineers Sector,0,none,
Doctors Hate This Simple Health Trick!,1,curiosity_gap,Kerala|Education
Research Department Introduces Updated Guidelines,0,none,
Government Releases Report on AI,0,none,
These Engineers Facts Will Shock You!,1,shock_value,Mobile|Water
She Did Technology and You Won’t Guess What Happened Next!,1,shock_value,Health|Environment
New Technology Aims to Improve Kerala Efficiency,0,none,
New Technology Aims to Improve Health Efficiency,0,none,
Government Releases Report on Startup,0,none,
Technology Announces New Policy for 2025,0,none,
Government Releases Report on Kerala,0,none,
Study Shows Increase in Technology Over Last Decade,0,none,
Government Releases Report on AI,0,none,
Finance Announces New Policy for 2025,0,none,
You Won't Believe What Happened When Education Tried This!,1,emotional,Health|Environment
Education Launches Initiative to Support Research Development,0,none,
Engineers Launches Initiative to Support Finance Development,0,none,
Experts Discuss Challenges in Health Sector,0,none,
This Mobile Hack Will Change Your Life Forever!,1,curiosity_gap,Startup|Education
Researchers Find Correlation Between Students and Health,0,none,
People Are Freaking Out About This Engineers Discovery!,1,exaggeration,Kerala|Environment
This One Technology Mistake Could Ruin Everything!,1,shock_value,Research|Kerala
Experts Discuss Challenges in Students Sector,0,none,
Study Shows Increase in Education Over Last Decade,0,none,
You Won't Believe What Happened When Engineers Tried This!,1,shock_value,Education|Mobile
These Finance Facts Will Shock You!,1,shock_value,Health|Students
You Won't Believe What Happened When Kerala Tried This!,1,misleading_number,Health|Education
Survey Reveals Trends in Education for 2024,0,none,
10 Kerala Secrets the Experts Don’t Want You to Know!,1,shock_value,AI|Students
She Did Engineers and You Won’t Guess What Happened Next!,1,misleading_number,Mobile|Environment
Water Launches Initiative to Support Technology Development,0,none,
Top 10 AI Ideas That Are Blowing Up the Internet!,1,exaggeration,Students|Research
These Environment Facts Will Shock You!,1,emotional,Environment|Health
She Did AI and You Won’t Guess What Happened Next!,1,misleading_number,Health|Students
Scientists Discover New Method to Improve AI,0,none,
People Are Freaking Out About This Engineers Discovery!,1,misleading_number,AI|Startup
Survey Reveals Trends in AI for 2024,0,none,
This One Education Mistake Could Ruin Everything!,1,misleading_number,AI|Education
She Did AI and You Won’t Guess What Happened Next!,1,misleading_number,Mobile|AI
These Environment Facts Will Shock You!,1,emotional,Finance|Research
10 Research Secrets the Experts Don’t Want You to Know!,1,emotional,Research|Education
Kerala Launches Initiative to Support Finance Development,0,none,
Top 10 Water Ideas That Are Blowing Up the Internet!,1,shock_value,Kerala|AI
Mobile Announces New Policy for 2025,0,none,
Startup Department Introduces Updated Guidelines,0,none,
Study Shows Increase in Water Over Last Decade,0,none,
Environment Launches Initiative to Support Research Development,0,none,
This One Technology Mistake Could Ruin Everything!,1,exaggeration,Water|Finance
Study Shows Increase in Mobile Over Last Decade,0,none,
People Are Freaking Out About This Environment Discovery!,1,shock_value,AI|Research
This One Water Mistake Could Ruin Everything!,1,emotional,Education|Technology
How This Water Girl Became Famous Overnight!,1,emotional,Technology|Education
She Did Engineers and You Won’t Guess What Happened Next!,1,shock_value,Health|Engineers
This One Education Mistake Could Ruin Everything!,1,misleading_number,Kerala|Research
This Research Hack Will Change Your Life Forever!,1,misleading_number,Education|Startup
Government Releases Report on Education,0,none,
This One Students Mistake Could Ruin Everything!,1,misleading_number,Water|AI
Experts Discuss Challenges in Kerala Sector,0,none,
Doctors Hate This Simple Finance Trick!,1,misleading_number,Mobile|Students
Survey Reveals Trends in Environment for 2024,0,none,
Doctors Hate This Simple Finance Trick!,1,curiosity_gap,Health|Education
Researchers Find Correlation Between Mobile and Water,0,none,
AI Department Introduces Updated Guidelines,0,none,
Technology Announces New Policy for 2025,0,none,
How This Mobile Girl Became Famous Overnight!,1,exaggeration,Research|Finance
Survey Reveals Trends in Health for 2024,0,none,
People Are Freaking Out About This Mobile Discovery!,1,exaggeration,Kerala|AI
New Technology Aims to Improve AI Efficiency,0,none,
These Research Facts Will Shock You!,1,shock_value,Research|Finance
People Are Freaking Out About This Research Discovery!,1,emotional,Engineers|Startup
Survey Reveals Trends in Research for 2024,0,none,
Scientists Discover New Method to Improve Health,0,none,
New Technology Aims to Improve Finance Efficiency,0,none,
Top 10 Finance Ideas That Are Blowing Up the Internet!,1,exaggeration,AI|Students
Top 10 Health Ideas That Are Blowing Up the Internet!,1,misleading_number,Startup|Environment
These Kerala Facts Will Shock You!,1,exaggeration,Mobile|Environment
Government Releases Report on Water,0,none,
Study Shows Increase in Technology Over Last Decade,0,none,
Doctors Hate This Simple Engineers Trick!,1,misleading_number,Engineers|Technology
Environment Launches Initiative to Support Water Development,0,none,
She Did Water and You Won’t Guess What Happened Next!,1,misleading_number,Environment|Water
Experts Discuss Challenges in Finance Sector,0,none,
Experts Discuss Challenges in AI Sector,0,none,
People Are Freaking Out About This Finance Discovery!,1,exaggeration,Health|Engineers
Study Shows Increase in Students Over Last Decade,0,none,
People Are Freaking Out About This Engineers Discovery!,1,curiosity_gap,Education|Research
Top 10 Students Ideas That Are Blowing Up the Internet!,1,curiosity_gap,Kerala|Health
Survey Reveals Trends in Education for 2024,0,none,
Study Shows Increase in Technology Over Last Decade,0,none,
New Technology Aims to Improve Finance Efficiency,0,none,
This Research Hack Will Change Your Life Forever!,1,shock_value,Environment|Water
How This Students Girl Became Famous Overnight!,1,exaggeration,AI|Startup
This Water Hack Will Change Your Life Forever!,1,shock_value,Students|Mobile
Researchers Find Correlation Between Students and Engineers,0,none,
Scientists Discover New Method to Improve Water,0,none,
Doctors Hate This Simple Startup Trick!,1,curiosity_gap,Mobile|Education
This One Health Mistake Could Ruin Everything!,1,emotional,Engineers|Education
You Won't Believe What Happened When Kerala Tried This!,1,emotional,Education|Startup
You Won't Believe What Happened When Engineers Tried This!,1,exaggeration,Finance|Students
These Education Facts Will Shock You!,1,emotional,Finance|Research
Government Releases Report on Health,0,none,
Water Department Introduces Updated Guidelines,0,none,
People Are Freaking Out About This Mobile Discovery!,1,emotional,Engineers|Health
Students Announces New Policy for 2025,0,none,
You Won't Believe What Happened When Technology Tried This!,1,exaggeration,Engineers|Environment
This One Students Mistake Could Ruin Everything!,1,emotional,Health|Finance
This Health Hack Will Change Your Life Forever!,1,emotional,Students|Technology
Engineers Launches Initiative to Support Water Development,0,none,
People Are Freaking Out About This Environment Discovery!,1,shock_value,Technology|Kerala
This Startup Hack Will Change Your Life Forever!,1,shock_value,Technology|Engineers
How This Kerala Girl Became Famous Overnight!,1,misleading_number,Education|Research
New Technology Aims to Improve Health Efficiency,0,none,
Scientists Discover New Method to Improve Finance,0,none,
Researchers Find Correlation Between Startup and Kerala,0,none,
Scientists Discover New Method to Improve Technology,0,none,
People Are Freaking Out About This Research Discovery!,1,curiosity_gap,Health|Technology
Engineers Department Introduces Updated Guidelines,0,none,
Experts Discuss Challenges in Finance Sector,0,none,
Study Shows Increase in Education Over Last Decade,0,none,
This One Environment Mistake Could Ruin Everything!,1,curiosity_gap,Startup|Environment
Survey Reveals Trends in Finance for 2024,0,none,
New Technology Aims to Improve Startup Efficiency,0,none,
Survey Reveals Trends in Research for 2024,0,none,
Government Releases Report on Engineers,0,none,
This Engineers Hack Will Change Your Life Forever!,1,shock_value,Technology|Mobile
AI Launches Initiative to Support Kerala Development,0,none,
Scientists Discover New Method to Improve Water,0,none,
Top 10 Technology Ideas That Are Blowing Up the Internet!,1,misleading_number,AI|Research
